제목,작성일,조회수,분류,docid,mtgHmeDd,sno,mtgMtrRegSno,popup_url
심실 보조장치 치료술(VAD) 요양급여 대상여부(20사례),2025-07-01,43,공개사례,,,,,
Eculizumab 주사제(품명: 솔리리스주 등) 및 Ravulizumab 주사제(품명: 울토미리스주 등) 요양급여 대상여부(5사례),2025-07-01,22,공개사례,,,,,
Nusinersen sodium 주사제(품명: 스핀라자주) 요양급여 대상여부 및 Risdiplam 경구제(품명: 에브리스디건조시럽) 요양급여 대상여부(47사례),2025-07-01,26,공개사례,,,,,
Burosumab 주사제(품명: 크리스비타주) 요양급여 대상 여부(7사례),2025-07-01,21,공개사례,,,,,
신이식술과 동시 산정한 혈관성형술 인정여부(2사례),2025-07-01,19,공개사례,,,,,
‘복강경하 수술시 사용하는 치료재료비용 정액수가(급여코드 N0031001)’ 요양급여 인정여부(2사례),2025-07-01,35,공개사례,,,,,
심실 보조장치 치료술(VAD) 요양급여 대상여부(4사례),2025-05-30,26,공개사례,,,,,
Eculizumab 주사제(품명: 솔리리스주 등) 및 Ravulizumab 주사제(품명: 울토미리스주 등) 요양급여 대상여부(2사례),2025-05-30,27,공개사례,,,,,
조혈모세포이식 요양급여 대상여부(57사례),2025-05-30,25,공개사례,,,,,
면역관용요법(Immune Tolerance Induction) 요양급여 대상여부(2사례),2025-05-30,26,공개사례,10,20250530,1,0004,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20250530&sno=1&mtgMtrRegSno=0004
Burosumab 주사제(품명: 크리스비타주) 요양급여 대상여부(2사례),2025-05-30,22,공개사례,1,20250530,1,0005,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20250530&sno=1&mtgMtrRegSno=0005
ESD(내시경적 점막하 박리절제술) 실패 시 수기료 및 재료대 인정여부(1사례),2025-05-30,147,공개사례,2,20250530,1,0006,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20250530&sno=1&mtgMtrRegSno=0006
병변 위치 및 시술일에 따른 ESD(내시경적 점막하 박리절제술) 수가 산정방법(4사례),2025-05-30,117,공개사례,3,20250530,1,0007,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20250530&sno=1&mtgMtrRegSno=0007
혈관내초음파(IVUS) 결과 심근 허혈 유발 병변으로 판단하여 시행한 경피적 관상동맥 중재술 인정여부(1사례),2025-05-30,166,공개사례,4,20250530,1,0008,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20250530&sno=1&mtgMtrRegSno=0008
중간부 우관상동맥 만성완전폐쇄(mRCA CTO) 병변에 다수 사용한 치료재료 인정여부(1사례),2025-05-30,106,공개사례,5,20250530,1,0009,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20250530&sno=1&mtgMtrRegSno=0009
영구적심박동기 삽입 후 익일 심실전극을 제거하고 새로운 전극을 삽입한 경우 관련 수기료 인정여부(1사례),2025-05-30,82,공개사례,6,20250530,1,0010,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20250530&sno=1&mtgMtrRegSno=0010
운동부하검사 결과 유의미한 혈압 강하 없이 시행한 심율동 전환 제세동기 거치술(ICD) 인정여부(1사례),2025-05-30,227,공개사례,7,20250530,1,0011,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20250530&sno=1&mtgMtrRegSno=0011
영구적심박동기(PPM) 시술료 인정여부(1사례),2025-05-30,74,공개사례,8,20250530,1,0012,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20250530&sno=1&mtgMtrRegSno=0012
미세협착(Minimal stenosis)에 시행한 관상동맥내 압력측정술(FFR) 및 치료재료 인정여부(1사례),2025-05-30,140,공개사례,9,20250530,1,0013,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20250530&sno=1&mtgMtrRegSno=0013
"[자동차보험][25-2-A-1] 진료내역 참조, 교통사고환자의 근골격·연부 초음파검사 인정여부(2사례)",2025-05-23,111,공개사례,10,20250523,2,0001,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20250523&sno=2&mtgMtrRegSno=0001
심실 보조장치 치료술(VAD) 요양급여 대상여부(14사례),2025-04-29,31,공개사례,1,20250429,1,0001,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20250429&sno=1&mtgMtrRegSno=0001
Eculizumab 주사제(품명: 솔리리스주 등) 및 Ravulizumab(품명: 울토미리스주 등) 요양급여 대상여부(15사례),2025-04-29,29,공개사례,2,20250429,1,0002,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20250429&sno=1&mtgMtrRegSno=0002
조혈모세포이식 분과위원회(70사례),2025-04-29,25,공개사례,3,20250429,1,0003,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20250429&sno=1&mtgMtrRegSno=0003
"Nusinersen sodium 주사제(품명: 스핀라자주) 및 Risdiplam 경구제(품명: 에브리스디건조시럽), Onasemnogene abeparvovec 주사제(품명: 졸겐스마주) 요양급여 대상 여부(42사례)",2025-04-29,35,공개사례,4,20250429,1,0004,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20250429&sno=1&mtgMtrRegSno=0004
부정맥 수술과 동시에 시행한 클립을 이용한 좌심방이 폐쇄술 요양급여 인정여부(3사례),2025-04-29,195,공개사례,5,20250429,1,0005,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20250429&sno=1&mtgMtrRegSno=0005
자203-2 대동맥근부수술 수가 산정에 대하여(2사례),2025-04-29,156,공개사례,6,20250429,1,0006,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20250429&sno=1&mtgMtrRegSno=0006
Eculizumab 주사제(품명: 솔리리스주 등) 및 Ravulizumab(품명: 울토미리스주 등) 요양급여 대상여부(3사례),2025-03-31,30,공개사례,7,20250331,1,0001,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20250331&sno=1&mtgMtrRegSno=0001
Nusinersen sodium 주사제(품명: 스핀라자주) 및 Risdiplam 경구제(품명: 에브리스디건조시럽) 요양급여 대상 여부(48사례),2025-03-31,25,공개사례,8,20250331,1,0002,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20250331&sno=1&mtgMtrRegSno=0002
Onasemnogene abeparvovec 주사제(품명:졸겐스마주) 성과평가(9사례),2025-03-31,20,공개사례,9,20250331,1,0003,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20250331&sno=1&mtgMtrRegSno=0003
"수술내역 비교, 뇌종양·뇌혈관질환에 대한 개두술마취 가산료 인정여부(11사례)",2025-03-31,452,공개사례,10,20250331,1,0004,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20250331&sno=1&mtgMtrRegSno=0004
심실 보조장치 치료술(VAD) 요양급여 대상여부(16사례),2025-03-31,17,공개사례,1,20250331,1,0005,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20250331&sno=1&mtgMtrRegSno=0005
심실 보조장치 치료술(VAD) 요양급여 대상여부(13사례),2025-02-27,40,공개사례,2,20250227,1,0001,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20250227&sno=1&mtgMtrRegSno=0001
요실금 수술과 동시 시행한 질벽봉합술(자408) 인정여부(17사례),2025-02-27,262,공개사례,3,20250227,1,0002,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20250227&sno=1&mtgMtrRegSno=0002
"「L1부위의 골절, 폐쇄성」등 상병에 시행한 ‘자47-1가 경피적 척추후굴풍선복원술［방사선료포함］-제1부위‘ 인정여부(1사례)",2025-02-27,155,공개사례,4,20250227,1,0003,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20250227&sno=1&mtgMtrRegSno=0003
「신경뿌리병증을 동반한 요추 및 기타 추간판장애」등 상병에 시행한 ‘자49가 관혈적 추간판제거술 ［척추후궁절제술포함］-요추‘  인정여부(1사례),2025-02-27,209,공개사례,5,20250227,1,0004,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20250227&sno=1&mtgMtrRegSno=0004
"「척추전방전위증, 요추부」등 상병에 시행한 ‘자46 척추고정술［기기,기구사용고정포함］’ 인정여부(2사례)",2025-02-27,308,공개사례,6,20250227,1,0005,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20250227&sno=1&mtgMtrRegSno=0005
"Nusinersen sodium 주사제(품명: 스핀라자주) 및 Risdiplam 경구제(품명: 에브리스디건조시럽), Onasemnogene abeparvovec 주사제(품명: 졸겐스마주) 요양급여 대상 여부(32사례)",2025-02-27,25,공개사례,7,20250227,1,0006,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20250227&sno=1&mtgMtrRegSno=0006
Voretigene neparvovec 주사제(품명: 럭스터나주) 요양급여 대상 여부(2사례),2025-02-27,16,공개사례,8,20250227,1,0007,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20250227&sno=1&mtgMtrRegSno=0007
면역관용요법 요양급여 대상여부(1사례),2025-02-27,26,공개사례,9,20250227,1,0008,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20250227&sno=1&mtgMtrRegSno=0008
Burosumab 주사제(품명: 크리스비타주) 요양급여 대상 여부(2사례),2025-02-27,14,공개사례,10,20250227,1,0009,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20250227&sno=1&mtgMtrRegSno=0009
Eculizumab 주사제(품명: 솔리리스주 등) 요양급여 대상여부(3사례),2025-02-27,21,공개사례,1,20250227,1,0010,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20250227&sno=1&mtgMtrRegSno=0010
심율동 전환 제세동기 거치술(ICD) 및 심장재동기화치료(CRT) 요양급여 대상여부(1사례),2025-02-27,9,공개사례,2,20250227,1,0011,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20250227&sno=1&mtgMtrRegSno=0011
조혈모세포이식 요양급여(필수)/선별급여 대상 승인여부 (56사례),2025-02-27,14,공개사례,3,20250227,1,0012,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20250227&sno=1&mtgMtrRegSno=0012
흉부 삼차원 CT 요양급여 인정여부(2사례),2025-02-27,283,공개사례,4,20250227,1,0013,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20250227&sno=1&mtgMtrRegSno=0013
